ID,Tweet,Location
1582070804941983744-,Voglio morire,None
1582069943251587073-,"oddio cosa, voglio morire ",None
1582069642092511233-,it starts with us mi arriva il 3 novembre voglio morire io lo volevo leggere domani.,None
1582067447506796545-," //real ha fatto un intervento ai denti, voglio morire",None
1582067105406496768-,"Alla domanda ""qual è stata la miglior partita di tennis dell'anno"", nessuno ti risponderà con altre partite che non siano quella di Carlitos e Jannik.

Sono una mamma fiera di questi bambini (anche se voglio morire sinceramente perché il trauma creatomi è ancora molto vivo)",None
1582065325990084608-,ecco perché jimin e taehyung……..vi prego voglio morire,None
1582065320441049088-,pensate a me il 19 a scuola mentre il padre di una mia amica cerca di prendere i biglietti per Louis voglio morire solo al pensiero,None
1582064625151283200-,scusate voglio morire per quanto è bello ,None
1582064563754713088-, Il problema è che sta notizia mi ha ammazzo voglio morire PERCHÉ ANCHE IL MIO CORPO SOMATIZZA CAZZO,None
1582063752798609408-,"  ANCHE IO AMORE 
ma prima parla con gyu non voglio morire",None
1582061701721038849-, tu mi fai morire ti voglio bene anche io vita mia,None
1582061462284967936-,"Ho ancora un'altra ora di lezione, voglio già morire",None
1582060239435665408-,voglio morire ricco come un Casamonica,None
1582059112879120384-,io che per sbaglio mi mangio il sughetto pronto pieno di aglio voglio morire ho un mattone nello stomaco🥹,None
1582154036228128769-,"Ma solo ora scopro che il Twitter odia i pinguini

Sono molto triste",None
1582124064566824960-,"Comunque raga inutile dirlo sto di merda, il mio umore è una merda, non ci capisco più un cazzo, ma se un asteroide mi colpisce sarei molto felice. Sono talmente stressato, angosciato, nervoso, incazzato, triste ecc. Tutto questo preso ingoiato e buttato giù che sto impazzendo.",None
1582110781222838272-,In questo momento sono molto triste  perché  penso a come può stare Christian  farei qualsiasi cosa pur di vederlo felice e sorridente sempre vorrei che leggesse solo cose belle  ovunque  perché merita solo cose belle e rispetto  gli voglio TVTB. è un ragazzo speciale 💜,None
1582104753865379841-, Sono molto triste,None
1582098842421366784-,"in più sto fatto che loro non dovrebbero andare perché hanno dato molto alla corea non significa nulla. loro, come tutti gli altri cittadini maschili, devono andare al militare. ripeto, anch’io sono triste ma alla fine bisogna solo aspettare. io aspetterò a braccia aperte.",None
1582098793452883968-, NO MAI mi piacciono tanto infatti sono triste per la trama perché ok molto importante che lei abbia scoperto di essere bi però lei e big red sono troppo belli io li voglio insieme 😢,None
1582098544407633920-," infatti, sono molto triste dovresti rimediare",None
1582097393494872064-,OK ADESSO SONO MOLTO TRISTE 😭  ,None
1582091198386171904-, Sono di molto triste 😞,None
1582087538667200513-, amo sono molto triste,None
1582085082017587200-," Ho perso tanti amici per via della stessa tua situazione...ma ho conosciuto tanti altre persone NoVax che adesso sono miei cari amici👍❤️...ormai e'difficile discutere con i vaccinati...molto triste, ma non ho più voglia di perdere energie per questi...",None
1582068277555081216-,oggi sono molto triste,None
1582065406587461632-,"  Sono le riflessioni di chi vuole loro bene, aprire gli # e leggere fazioni è molto più triste",None
1582064966160773120-, Sono molto triste neanche aka7 e Martina sono così distanti nonostante aka7 sia rimasto scottato da Martina ieri confesso di aver pianto,None
1582064872887812096-,realizzando un po’ in ritardo che ora francesca non abita più a 30 minuti da me e sono molto triste,None
1582064316940840960-,sono ancora molto triste ma questa cosa l'ammiro molto. ,None
1582054238250708993-,Ho rotto per sbaglio la mia tazza preferita. Sono molto triste ora,None
1582024058249830400-,Il fatto che il cast di the bear sia così booked and busy mi rende molto fiera perché sono davvero tanto bravi se la serie funziona così bene è anche grazie a loro ma allo stesso tempo sono triste perché non voglio aspettare x la s2 🫠,None
1582004366763905027-,sono molto triste  ,None
1582002775075930112-,"Oggi in lutto....
Io non credo resisterò fino al 2025 senza avere delle crisi...😓
La leva militare è una merd* 😬
Aspetterò sempre  però comunque sono un po' di anni!!!💜
Sono molto triste perché non sono mai riuscita ad andare a un loro concerto... ",None
1581986192265924608-, io sono ancora molto triste...sinceramente non so che fare,None
1581984200244137986-,"è morto il mio prof di linguistica generale che avevo nell'uni precedente, sono super triste perchè ero molto affezionata a lui :( era bravissimo",None
1581980711246237697-, il motivo per cui ho droppato i bangtan vvb molto triste perché loro sono anche bravi ma quel fandom mi fa passare tutte le voglie,None
1581980600822439936-,"anni di vita rubati, oggi sono molto triste",None
1581979572492718081-," Non impareranno.. 
non sanno cosa sia il rispetto  😒
Sono frustrati e cattivi  perché  non ottengono quello che vorrebbero.. 
Tutto di loro è triste e negativo ..
Molto squallido e sporco ..",None
1581978813923471364-,Ho appena visto dei bittini sono molto triste,None
1581977539467042816-, Sono molto triste per questa notizia...😔,None
1581971972656812033-,"Tendo a stare lontana da Twitter quando sono molto triste, quando sono ansiosa, quando sono depressa.
Ma anche quando il mondo, fuori, prende il sopravvento.
Ed è come se avessi già troppa vita intorno per aggiungerne altra.",None
1581969370682884096-,"sono davvero molto triste però vabe, è una cosa che dovevano e sopratutto volevano fare.",None
1581960008895713281-,"non riesco a pensare a niente, sono molto triste",None
1581957930907500544-," Ti consiglio il mio approccio per fare più soldi: ""ok sono riuscito a fare x quindi mi merito un saccottino con la Rigoni"" oppure ""ok non sono riuscito a fare x e sono molto triste mi merito un saccottino con la Rigoni""",None
1581957220815687680-,Sono però molto triste per Jin che probabilmente non avrà nemmeno tempo di promuovere il suo lavoro decentemente quindi you better support him,None
1581948328035512321-,io oggi sono molto triste ,None
1581935040011067393-,Sono una persona molto triste in questo momento ,None
1581929568256299008-,"Non dirò niente al riguardo, ne ho già parlato con le persone di cui mi fido di più e mi basta così. Sono molto arrabbiata, sono molto triste, ma da quando quei 7 sono entrati nella mia vita ho capito che ci sarebbero rimasti per sempre e così sarà. I'm in this bts shit for life.",None
1581925094188003328-," Un pò deboluccia come risposta. I 190 milioni di poveri sono un, molto molto triste, fatto.",None
1581922126436913152-,Sono molto triste onestamente speravo in un miracolo diciamo così non posso manco mettermi a piangere perché sono in un luogo non mio mi ammazz,None
1581921851676450816-,A volte mi sento triste quando ricordo che non sono l'unica donna nella vita di mio daddy e non so se è molto egoista.,None
1581921691718254595-,molto triste pensare che da qua al 2025 ci sono anni in cui tutti noi (bts/army) potremmo cambiare idea sul da farsi e non è scontatissimo né che loro torneranno insieme a fare musica né che noi saremo lì ad aspettarli,None
1581911734713192448-,sono triste ma li amo molto,None
1581782201855021056-,"sono entrambi ""amici"" di Alberto e tutto ciò è molto triste, non credo che Edoardo sia omofobo ma fa un bel po' di uscite cesse quindi spero nella clip così Alberto si allontana e sono tutti felici e contenti finisce sta storia e andiamo in pace amen ",None
1581780847778140161-,"la verità è che sono molto triste in sto periodo, sento di aver completamente perso il controllo di me",None
1581760248892645376-,in questo periodo sono molto triste perché non sono attiva sul signor twitter ma la scuola mi sta ammazzando + ho altre 72837282819 cose da fare e mi vorrei buttare di sotto 👍🏼👍🏼👍🏼👍🏼 ,None
1581758482986176512-, Chi ammorba sono quelli che hai denunciato. Sono loro che se ne devono andare. Senza i tuoi tuit questo posto sarebbe molto più triste e povero.,None
1581754964023848960-,"Che Leone fosse pieno e strapieno si era capito da tempo già quest’estate, il bambino bello e buono che fa le foto volentieri non era proprio una storia credibile. Il discorso è troppo complesso per riassumerlo così e sono d’accordo e in disaccordo, ma quest’audio è molto triste. ",None
1581740710201417728-,"Un altra persona che racconta falsità. Mai cagato. Forse sentito in qualche Space. Mi sono ritrovato bloccato senza motivo (le critiche a Sarri?) e ovviamente ho ricambiato la gentilezza.

Molto triste faccia la baby-sitter ai bimbiminkia di Lazio Twitter. ",None
1581731067547234304-,"  Idem, sono molto triste ora 😢",None
1581716395925962757-, Sono state poco meno di 10 giorni fa e onestamente mi sembrano passati già anni.. Sono molto triste 🙈,None
1581709263961214976-,sono molto triste per questa cosa ,None
1581703718093090817-," molto triste perché ci sono ballerini molto più meritevoli di Megan, ma siccome è magra e alta fanno andare avanti lei, giusto ovvio",None
1581697768677965824-,"Ciao Luca. Come stai? Come va in ospedale? Oggi sono molto molto triste però per te, mi manchi. Dico a te di essere forte e che c'è la farai. Ciao Luchino💙💙",None
1581678466902396928-,anyway anch’io ci ho sperato fino all’ultimo e sono molto triste x questo ma la cosa buona che ora non si parlerà di loro come ship ma solo artisticamente perché è quello che conta realmente ,None
1581662393683177473-," Esatto! Vittoria è ancora molto piccola, Leone invece sta diventando più consapevole e infatti, giustamente, si sta rompendo il cazzo. Lo stesso accadrà anche con la bambina fra pochi anni, ne sono certa... 
Ed è molto triste guadagnare sull'immagine dei figli, secondo me.",None
1581653656171991040-," amo ho usato tutto ed è venuta mona a pity 80, io sono ancora molto triste 😭💔",None
1581650481910202371-,"Tutto ciò molto triste ma ancora più triste il fatto che questi bambini, anche se godono di una vita privilegiata, sono già super famosi e al centro dell'attenzione di milioni di persone. Non hanno mai privacy. Adesso sono piccoli e non capiscono, ma non sarà così per sempre. ",None
1581625894137135105-,Comunque ragazzi io sono molto triste perché  si è dimenticata di me,None
1581615731468226560-,fare il layout mi ha anche portato a contatto con molto cime tempestose content adesso sono molto triste e miserabile,None
1581590579431231488-,rido molto ma sono triste,None
1581581594082410496-, della Camera sono un cittadino che le scrive dicendo Io mi sento molto triste per la sua elezione perché ricordo bene che lei definiva le persone come me schifezza e che ci considera persone di serie B Purtroppo questo mi fa vergognare per il mio paese,None
1581577722958327811-,sono molto triste mi manca questa pallina non deve tornare perché sennò mi manca sempre di più,None
1581575678801027074-, Sono pienamente d’accordo con te! È molto triste 😞 purtroppo la maggior parte degli italiani che hanno votato questo governo non si rendono conto di quanto pericoloso possa essere! Ci siamo già passati e non ci ha insegnato niente!!! 😡🤬😡🤬,None
1581561541635485696-,sono molto triste oggi ,None
1581561148809543681-,sono molto triste ,None
1581546319834845185-,"Comunque sono felicissima per Marc….ma molto triste per Fabio, non oso immaginare come stia ❤️‍🩹",None
1581545465065021441-," Weverse non ci ha permesso di godere del concerto. Tutto ha crashato dopo 10 minuti. Sono molto triste, ma aspetto i BTS in Italia. Love you guys💜💜💜💜💜💜💜",None
1581540443602399233-,  Sono d accordo! Ma quello che poi io nom capisco è perché farlo😅😅 o hai una vita molto triste e non hai niente da fare ( allora ti compatisco) o sei proprio cattivo e lo fai solo per sollevare la polemica...,None
1581514069487472641-," Esco da un periodo molto triste. Non auguro a nessuno dover passare quello che ho passato io. Ora però ho ritrovato me stessa e la mia nuova io mi piace molto. Si, adesso sono fiera di quel che sono. Credo che tu sia una bella persona, anche tu puoi essere fiero di te stesso. ",None
1581423674410008576-,"Oggi è successa una cosa molto triste a casa ma sono veramente fortunata ad avere vicino le persone che ho, tutte nessuna esclusa ❤️‍🩹 forse dopo un sacco di anni finalmente sono circondata dalle uniche persone che merito veramente di avere vicino.",None
